name,sku,description
"Wireless Bluetooth Headphones","WBH-001","High-quality wireless headphones with noise cancellation"
"Smartphone Case","SC-002","Protective case for smartphones with shock absorption"
"USB-C Cable","USB-003","Fast charging USB-C cable 6ft length"
"Laptop Stand","LS-004","Adjustable aluminum laptop stand for ergonomic viewing"
"Wireless Mouse","WM-005","Ergonomic wireless mouse with precision tracking"
"Keyboard Protector","KP-006","Silicone keyboard protector for laptops"
"Phone Charger","PC-007","Universal phone charger with multiple connectors"
"Tablet Screen Protector","TSP-008","Tempered glass screen protector for tablets"
"Bluetooth Speaker","BS-009","Portable Bluetooth speaker with bass boost"
"Gaming Headset","GH-010","Professional gaming headset with microphone"